"","Year","Genusspecies","Concession","N","TotalCounts","sd","se","ci","Group"
"326",2012,"Mesocentrotusfranciscanus","InConcession",116,0.491379310344828,1.41725815914221,0.13158911657305,0.260652714435098,"Algae"
"333",2012,"Panulirusinterruptus","InConcession",116,7.04310344827586,10.2451619473943,0.951239406250022,1.88422218929525,"Algae"
"334",2012,"Paralabraxclathratus","OutConcession",116,11.8793103448276,9.39116622142856,0.871947893682541,1.72716096325605,"Fish"
"336",2012,"Parastichopusparvimensis","InConcession",116,2.5948275862069,3.44643091574044,0.319993077201134,0.633844700421052,"Algae"
"346",2012,"Semicossyphuspulcher","InConcession",116,9.5948275862069,6.2859103291144,0.583632122157761,1.15606290880057,"Fish"
"354",2013,"Centrostephanuscoronatus","OutConcession",102,2.93137254901961,5.0153424094069,0.496592896386096,0.985106724408619,"Algae"
"355",2013,"Chromispunctipinnis","OutConcession",98,7.12244897959184,12.101175972609,1.22240337008051,2.42613231126042,"Fish"
"358",2013,"Eiseniaarborea","OutConcession",101,10.9306930693069,15.7792632437276,1.57009537616224,3.11502450767141,"Invertebrates"
"362",2013,"Haliotiscorrugata","InConcession",102,0.264705882352941,0.612194083446287,0.0606162467549198,0.120246327970542,"Algae"
"364",2013,"Haliotisfulgens","InConcession",102,0.0686274509803922,0.322729814396453,0.0319550132769966,0.0633901505374361,"Algae"
"373",2013,"Macrocystispyrifera","OutConcession",101,11.8613861386139,12.4547418302993,1.23929313156118,2.45872227611924,"Invertebrates"
"376",2013,"Megathuracrenulata","OutConcession",102,0.941176470588235,1.42692308597985,0.141286438759965,0.280274288865331,"Algae"
"377",2013,"Mesocentrotusfranciscanus","InConcession",102,0.00980392156862745,0.0990147542976674,0.00980392156862745,0.0194483431662314,"Algae"
"383",2013,"Panulirusinterruptus","InConcession",102,4.85294117647059,7.46264235159321,0.738911698854369,1.46580204546401,"Algae"
"384",2013,"Paralabraxclathratus","OutConcession",98,10.4081632653061,8.21469231240602,0.829809234209043,1.6469416271032,"Fish"
"386",2013,"Parastichopusparvimensis","InConcession",102,0.401960784313726,0.977568249083009,0.0967936799921551,0.192012623890602,"Algae"
"401",2013,"Semicossyphuspulcher","InConcession",98,7.94897959183673,6.34469085462927,0.64091056112009,1.27203005081628,"Fish"
"409",2014,"Centrostephanuscoronatus","OutConcession",98,4.8469387755102,10.2558527829475,1.03599757852473,2.05616841475237,"Algae"
"410",2014,"Chromispunctipinnis","OutConcession",98,5.61224489795918,10.2259349413119,1.03297542013915,2.05017026693272,"Fish"
"413",2014,"Eiseniaarborea","OutConcession",69,22.1014492753623,19.6567193477389,2.36639092754509,4.72205957553367,"Invertebrates"
"417",2014,"Haliotiscorrugata","InConcession",98,0.326530612244898,0.796584334609973,0.0804671692556694,0.159705056534639,"Algae"
"419",2014,"Haliotisfulgens","InConcession",98,0.0510204081632653,0.300255869564742,0.030330423065756,0.0601974939002194,"Algae"
"428",2014,"Macrocystispyrifera","OutConcession",95,16.3789473684211,12.3823647308173,1.27040381614412,2.52241655759095,"Invertebrates"
"431",2014,"Megathuracrenulata","OutConcession",98,0.5,0.955181204809129,0.0964878724546388,0.191501717629882,"Algae"
"432",2014,"Mesocentrotusfranciscanus","InConcession",98,0.0102040816326531,0.101015254455221,0.0102040816326531,0.020252277408306,"Algae"
"438",2014,"Panulirusinterruptus","InConcession",98,5.12244897959184,7.06707963441942,0.713882847526189,1.41685983958291,"Algae"
"439",2014,"Paralabraxclathratus","OutConcession",98,9.77551020408163,10.346104015218,1.04511432971743,2.07426264222564,"Fish"
"441",2014,"Parastichopusparvimensis","InConcession",98,0.561224489795918,1.47882878239554,0.149384265749391,0.29648641585849,"Algae"
"456",2014,"Semicossyphuspulcher","InConcession",98,6.21428571428571,5.55803495646794,0.561446315398623,1.11431551987377,"Fish"
"462",2015,"Centrostephanuscoronatus","OutConcession",90,10.1444444444444,15.6568261389105,1.6503743842739,3.27925874776303,"Algae"
"465",2015,"Eiseniaarborea","OutConcession",44,15.2727272727273,16.0918347579565,2.42593536729734,4.89236493105942,"Invertebrates"
"466",2015,"Haliotiscorrugata","InConcession",90,0.177777777777778,0.487547814486678,0.0513920520671713,0.102114912781387,"Algae"
"468",2015,"Haliotisfulgens","InConcession",90,0.133333333333333,0.402240913892395,0.0423999152002544,0.0842477283637781,"Algae"
"475",2015,"Macrocystispyrifera","OutConcession",62,9.25806451612903,9.34043823149777,1.18623684163765,2.37202716592855,"Invertebrates"
"478",2015,"Megathuracrenulata","OutConcession",90,0.0555555555555556,0.230344690961572,0.024280462345539,0.0482447614947503,"Algae"
"479",2015,"Mesocentrotusfranciscanus","InConcession",90,0.244444444444444,1.40872969401922,0.148493148020427,0.295052722139222,"Algae"
"483",2015,"Panulirusinterruptus","InConcession",90,3.95555555555556,5.26363635383546,0.5548359884328,1.10244729073549,"Algae"
"484",2015,"Parastichopusparvimensis","InConcession",90,0.111111111111111,0.435617718308576,0.0459181392993577,0.091238364708786,"Algae"
